s_no,district,station_name,address,latitude,longitude
390,Mehsana,Langhanaj,"LANGHNAJ POLICE STATION, LANGHANJ, TA-MEHSANA, DIST-MEHSANA",23.446663,72.491069
391,Mehsana,Mahila,"MAHILA POLICE STATION, POLICE HEAD QUARTER, MEHSANA, TA-DIST-
MEHSANA",23.611357,72.39194
392,Mehsana,Mehsana City A Divi,"MEHSANA CITY A DIVISION POLICE STATION, NEAR NAGARPALIKA, MEHSANA,
TA-DIST-MEHSANA",23.603329,72.392185
393,Mehsana,Mehsana City B Divi,"MEHSANA CITY B DIVISION POLICE STATION, UMIYA SHOPING CENTRE,
MEHSANA, TA-DIST-MEHSANA",23.598906,72.378827
394,Mehsana,Mehsana Taluka,"MEHSANA TALUKA POLICE STATION, NEAR AZAD CHOWK, MEHSANA, TA-DIST-
MEHSANA",23.602326,72.393549
395,Mehsana,Nandasan,"NANDASAN POLICE STATION, NANDASAN, TA-KADI, DIST-MEHSANA",23.380031,72.407766
396,Mehsana,Santhal,"SANTHAL POLICE STATION, SANTHAL, TA-DIST-MEHSANA",23.485046,72.256055
397,Mehsana,Satlasana,"SATLASANA POLICE STATION, SATLASANA, TA-SATLASANA, DIST-MEHSANA",24.024538,72.791924
398,Mehsana,Unjha,"UNJHA POLICE STATION, UNJHA, TA-UNJHA, DIST-MEHSANA",23.809701,72.395669
399,Mehsana,Vadnagar,"VADNAGAR POLICE STATION, VADNAGAR, TA-VADNAGAR, DIST-MEHSANA",23.784397,72.630121
400,Mehsana,Vasai,"VASAI POLICE STATION, VASAI, TA-VIJAPUR, DIST-MEHSANA",23.543102,72.55726
401,Mehsana,Vijapur,"VIJAPUR POLICE STATION, VIJAPUR, LADOL RAOD, TA-VIJAPUR, DIST-MEHSANA",23.566751,72.748662
402,Mehsana,Visnagar City,"VISNAGAR CITY POLICE STATION, VISNAGAR, TA-VISNAGAR, DIST-MEHSANA",23.699524,72.546083
403,Mehsana,Visnagar Taluka,"VISNAGAR TALUKA POLICE STATION, VISNAGAR, TA-VISNAGAR, DIST-MEHSANA",23.69603,72.551859
404,Mehsana,Modhera,"MODHERA POLICE STATION, MODHERA, TA-BECHARAJI, DIST-MEHSANA",23.58253,72.13927
405,Mehsana,Unava,"UNAVA POLICE STATION, UNAVA, TA-UNJHA, DIST-MEHSANA",23.76198,72.35921
406,Mehsana,Ladol,"LADOL POLICE STATION, LADOL, TA-VIJAPUR, DIST-MEHSANA",23.623695,72.734729
407,Morbi,Halvad,HALVAD POLICE STATION NEAR MAMLATDAR OFFICE,23.013253,71.203349
408,Morbi,Maliya Miyana,TO MALIYA MIYANA TA.MALIYA MIYANA DI.MORBI,23.09319,70.758656
409,Morbi,Morbi City A Div,JAIL ROAD MORBI,22.813643,70.83575
410,Morbi,Morbi City B Div,"NEAR MALIYA FATAK CHAR RASTA ,MAHENDRANAGAR ROAD ,MORBI - 2",22.835104,70.851885
411,Morbi,Morbi Taluka,Morbi Taluka,22.824289,70.847223
412,Morbi,Tankara,rajkot morbi highway road opp.mamlatar office tankata,22.657841,70.746783
413,Morbi,Wankaner City,"Nr.Laxmi Para,Plice Line,Wankaner",22.608533,70.949482
414,Morbi,Wankaner Taluka,"Nr.Laxmi Para,Plice Line,Wankaner",22.608537,70.950373
415,Morbi,Mahila,JAIL ROAD MORBI,22.811912,70.837362
416,Narmada,Dediapada,"Dediyapada Police Station, Near Mamlatdar Kacheri, Dediyapada.",21.627533,73.588349
417,Narmada,Garudeshwar,"Garudeshawar Police Station, Opp.Police Line, Garudeshwar.",21.889793,73.654606
418,Narmada,Kevadiya,"Kevadiya Police Station, Pathika Tran Rasta, Narmada.",21.883678,73.693208
419,Narmada,Mahila,"Nr. Govt. High School, Rajpipla, Ta. Nandod, Dist. Narmada",21.872969,73.503633
420,Narmada,Rajpipla(Nandod),"Rajpipla Police Station, Near Government School, Rajpipla.",21.872969,73.503633
421,Narmada,Sagbara,"Sagbara Police Station, Highway Road, Sagbara Town, Narmada.",21.544011,73.79122
422,Narmada,Tilakwada,"Tilakvada Police Station, Tilakvada Town, Narmada.",21.950267,73.589666
423,Narmada,Amletha,"Amletha Pstn, Near Amletha bus stand, ta. Nandod",21.838976,73.422808
424,Navsari,Bilimora,"Bilimora Police Station, Bangiya Falia, Bilimora Ta. Gandevi",20.766484,72.963401
425,Navsari,Chikhli,"Chikhali Police Station, Near Teausery office, Chikhali.",20.758311,73.062499
426,Navsari,Dholai Marin,"Dholai, Dholai Port Ta. Gandevi, Dist. Navsari",20.737839,72.899625
427,Navsari,Gandevi,"Gandevi Pstn , Old Mamlatdar Kacheri Compund, Gandevi Dist.Navsari",20.81135,72.99621
428,Navsari,Jalalpore,"Jalalpor Police Station, Near Zanda Chowk, Jalalpor Road, Jalalpore Ta. Jalalpore
Dist. Navsari",20.949338,72.902033
429,Navsari,Khergam,"Khergam Out post building, Near Praimary School , Khergam",20.63472,73.09355
430,Navsari,Mahila,"Mahila Pstn, Navsari Town Police Station Second Floor, Motabazar Navsari",20.954141,72.92958
431,Navsari,Navsari Rural,"Navsari Rural police station, C/o Mukundbhai Naik, Desai Street, At. Amadpore,
Near N.H.No.8 ,",20.954563,72.928746
432,Navsari,Navsari Town,"Navsari town police station,Motabazar, near Tower, Navsari",20.954141,72.92958
433,Navsari,Vansda,"Vansda Police Station,Opp.New Circuit House ,ta . Vansda dist. Navsari",20.762018,73.362198
434,Navsari,Vijalpor,"Vijalpor police station, Sahkari Dudh Mandli ltd. Maneklal Road, Navsari -2 ,
Vijalpore Ta. Jalalpor, Navsari",20.94626,72.917542
435,Navsari,Maroli,"Maroli, Out Post, Ta.Jalalpore",21.025559,72.88443
436,Panchmahal,Godhra A Div.,"Godhra A Division Poste,Behind Mamlatdar Office,Godhra",22.774022,73.617458
437,Panchmahal,Godhra B Div.,"Godhra B Division Poste,Near Head Post Office,Railway Station Road,Godhra",22.776849,73.61239
438,Panchmahal,Godhra Taluka,"Godhra taluka Poste,Marketing yard Road,Opposite ST Bus Stand,Godhra",22.778756,73.621131
439,Panchmahal,Halol Town,"Halol Police Station,Near Mamalatdar Office,Halol",22.501308,73.474671
440,Panchmahal,Jambughoda,"Jambughoda Police Station,Near Taluka Panchayat Office,Jambughoda",22.370064,73.729605
441,Panchmahal,Kalol,"Kalol Police Station,Near Mamlatdar Office,Godhra-Baroda Highway,Kalol",22.605708,73.459543
442,Panchmahal,Mahila,"Range IG Office Campus,Near SP Office,Godhra",22.766932,73.620228
443,Panchmahal,Morva,"Morva(Hadaf) Police Station,Near Bus Stand,Morva(Hadaf)",22.917454,73.8415
444,Panchmahal,Pavagadh,"Pavagadh Poste,Near Kansara Dhramshala,Chapaner Village,Pavagadh",22.484589,73.534505
445,Panchmahal,Rajgadh,"Rajgadh Police Station,Ghoghamba",22.570349,73.652174
446,Panchmahal,Shehra,"Shahera Police Stataiopn,B/H Bus Stop,Shahera",22.947567,73.632715
447,Panchmahal,Vejalpur,"Vejalpur Police Station,Main Bazar Road,Vejalpur",22.690711,73.559095
448,Panchmahal,Damavav,"Damavav Police station,Near Damavav Chokadi,Damavav",22.703604,73.758236
449,Panchmahal,Halol Rural,"Halol Rural Poste,Halol-Pavagadh Road,Halol",22.502823,73.480915
450,Panchmahal,Kankanpur,Kankanpur Police Station,22.837782,73.482829
451,Patan,Balisana,Balisana Police Station Near Gram Panchayat,23.817658,72.256479
452,Patan,Chanasma,Chanasma Police Station Gauravpat Road4 Near Bus Station Chanasma,23.716571,72.109352
453,Patan,Harij,Harij Police Station Near Mamltdar Office Harij,23.693225,71.907451
454,Patan,Kakoshi,"Near Sagar Hotel,Kakoshi Police Station",24.003792,72.303678
455,Patan,Mahila,"Mahila Police Station Near, Sidhapur Char Rasta, Sp Office Compound",23.851775,72.135528
456,Patan,Patan City A Div,Patan City A Division Police Station Near New Mamlatdar Office Patan,23.847195,72.111999
457,Patan,Patan City B Div,"Near Siddhpur Char Rasta, Patan City B Divi. Police Station,Patan",23.853024,72.139589
458,Patan,Patan Taluka,Patan Taluka Police Station At.Golapur,23.822127,72.124661
459,Patan,Radhanpur,Radhnapur Police Station Near S.T. Depo Radhanpur,23.828875,71.614436
460,Patan,Sami,Shankheswar Road Sami Police Station Sami,23.682381,71.770613
